ID,Created,Name,Description,Playlist URL
e892aa3abc704c919b93944a0ff326f6,2025-11-23T07:45:02Z,Storytime!,"Let's start the league with a good story!  A narrative song like a mini-movie, unfolding a story with character(s), event(s), and plot(s). ",https://open.spotify.com/playlist/37XzIvAoCOitjGlEyOadvk
6c42e6747cd0462db26ba8605f729d93,2025-11-23T07:45:02Z,Out of the ordinary ,"A song from a band or artist that is known mainly for a certain style of music, but they made a song (or a few) that is not their usual style. Example, a heavy metal band that had a country song.",https://open.spotify.com/playlist/5hliiGxC9PojzVsmyx38Qr
52ea07d02c2a4fd09613b1b525a3ba41,2025-11-23T07:45:02Z,Excellently Explicit,"A song with E for explicit lyrics. Cover your kid's ears! (Song *must* have an 'E' rating in Spotify, which doesn't always mean it will have a bad word.)",https://open.spotify.com/playlist/58aElerWOWTzhEeAiR4JBE
98464b98a72b4e6ab7b35294150cff94,2025-11-23T07:45:02Z,Kids songs,"After all those bad words, let's now go for songs with no 'E' rating and your kid(s) or your kiddie self (when you were 11 or younger) enjoy(ed)!",https://open.spotify.com/playlist/1iw90pWdlQj5IjiF7b2JXI
7f89379711c14f8c9e016cd5d021cb76,2025-11-23T07:45:03Z,Short and Sweet (or not),"Songs not longer than 2minutes and 30 seconds! Let's end the league with a short fuse, lol....",https://open.spotify.com/playlist/41NHQI6ASTOL74BIG28ePq
